Species,BeginTime(s),EndTime(s),Call time (s),,,,Vidua macroura,Estrilda astrild,Call time (s)
Vidua macroura,11.8202107,11.89481772,0.07460702,,,,,,
Vidua macroura,12.67297253,12.74575987,0.07278734,,,,,,
Vidua macroura,13.1128581,13.18382576,0.07096766,,,,,,
Vidua macroura,13.5313853,13.60963169,0.07824639,,,,,,
Vidua macroura,13.97912397,14.05009162,0.07096765,,,,,,
Vidua macroura,14.40129054,14.48317629,0.08188575,,,,,,
Vidua macroura,15.23892177,15.31352879,0.07460702,,,,,,
Vidua macroura,16.11189079,16.19195687,0.08006608,,,,,,
Vidua macroura,16.57974254,16.65434956,0.07460702,,,,,,
Vidua macroura,12.25511505,12.32790239,0.07278734,,,,,,
Vidua macroura,13.97035113,14.04550406,0.07515293,,,,,,
Vidua macroura,11.95199406,12.18127418,0.22928012,,,,,,
Vidua macroura,12.380865,12.58830892,0.20744392,,,,,,
Vidua macroura,12.82850714,12.9649834,0.13647626,,,,,,
Vidua macroura,13.25067371,13.46357667,0.21290296,,,,,,
Vidua macroura,13.73155168,13.89896256,0.16741088,,,,,,
Vidua macroura,14.11004584,14.31021103,0.20016519,,,,,,
Vidua macroura,14.95725333,15.16287756,0.20562423,,,,,,
Vidua macroura,15.41016386,15.59941095,0.18924709,,,,,,
Vidua macroura,16.25995728,16.45284373,0.19288645,,,,,,
Vidua macroura,19.62015133,19.84033303,0.2201817,,,,,,
Vidua macroura,14.45011632,14.6462782,0.19616188,,,,,,
Vidua macroura,22.58479142,22.65276196,0.06797054,,,,,,
Vidua macroura,22.94886354,23.01136519,0.06250165,,,,,,
Vidua macroura,23.82015265,23.88812319,0.06797054,,,,,,
Vidua macroura,24.14828632,24.21078798,0.06250166,,,,,,
Vidua macroura,25.46771672,25.52787456,0.06015784,,,,,,
Vidua macroura,25.8310149,25.89507909,0.06406419,,,,,,
Vidua macroura,26.20821818,26.27931381,0.07109563,,,,,,
Vidua macroura,26.60088919,26.66807846,0.06718927,,,,,,
Vidua macroura,26.99465692,27.06028365,0.06562673,,,,,,
Vidua macroura,27.3585786,27.42811169,0.06953309,,,,,,
Vidua macroura,25.19631684,25.26217796,0.06586112,,,,,,
Vidua macroura,22.69010498,22.89948552,0.20938054,,,,,,
Vidua macroura,23.05074389,23.23746758,0.18672369,,,,,,
Vidua macroura,23.93046929,24.11328662,0.18281733,,,,,,
Vidua macroura,24.25079026,24.44298284,0.19219258,,,,,,
Vidua macroura,25.57522373,25.78694808,0.21172435,,,,,,
Vidua macroura,25.92977017,26.15399484,0.22422467,,,,,,
Vidua macroura,26.32431185,26.53994255,0.2156307,,,,,,
Vidua macroura,26.70261185,26.94011813,0.23750628,,,,,,
Vidua macroura,27.10419228,27.29638487,0.19219259,,,,,,
Vidua macroura,27.49874128,27.68077735,0.18203607,,,,,,
Vidua macroura,25.30569596,25.50913884,0.20344288,,,,,,
Vidua macroura,11.80286142,11.85645776,0.05359634,,,,,,
Vidua macroura,12.17014795,12.22002232,0.04987437,,,,,,
Vidua macroura,12.55307378,12.60741451,0.05434073,,,,,,
Vidua macroura,12.99003978,13.0458693,0.05582952,,,,,,
Vidua macroura,13.57365132,13.62724766,0.05359634,,,,,,
Vidua macroura,20.26153122,20.32852665,0.06699543,,,,,,
Vidua macroura,20.67243648,20.72082206,0.04838558,,,,,,
Vidua macroura,21.0831984,21.13828352,0.05508512,,,,,,
Vidua macroura,21.48309497,21.54636842,0.06327345,,,,,,
Vidua macroura,21.89281897,21.9464153,0.05359633,,,,,,
Vidua macroura,16.84828543,16.90374275,0.05545732,,,,,,
Vidua macroura,11.90945961,12.10002437,0.19056476,,,,,,
Vidua macroura,12.28240777,12.44691875,0.16451098,,,,,,
