Species name (original dataset),mb (g),Log10 mb (g),BMR (ml O2 h-1),Log10 BMR (ml O2 h-1),,,Longitude (°),Altitude (m),,,,
Abrothrix andinus,34.9,1.54,61.77,1.79,,,-70.5,717,,,,
Abrothrix longipilis,42.3,1.63,57.53,1.76,,,-70.78,498,,,,
Abrothrix olivaceus,27,1.43,49.41,1.69,,,-70.78,498,,,,
Acomys cahirinus,42,1.62,46.2,1.66,,,34.95,348,,,,
Acomys russatus,60,1.78,45,1.65,,,34.95,348,,,,
Acomys spinosissimus,27.02,1.43,44.12,1.64,,,29.9,1089,,,,
Acomys subspinosus,32.25,1.51,83.43,1.92,,,18.9,456,,,,
Aconaemys fuscus,112,2.05,121,2.08,,,-71.42,1232,,,,
Acrobates pygmaeus,14,1.15,15.12,1.18,,,144.97,58,,,,
Aepyprymnus rufescens,2820,3.45,1070.65,3.03,,,152.37,473,,,,
Aethomys namaquensis,66.6,1.82,52.61,1.72,,,20.7,868,,,,
Ailurus fulgens,5740,3.76,877.61,2.94,,,103.27,3739,,,,
Akodon azarae,24,1.38,41.28,1.62,,,-58.3,116,,,,
Ammospermophilus leucurus,75.6,1.88,78.62,1.9,,,-114.9,596,,,,
Anoura caudifer,11.5,1.06,28.36,1.45,,,-44.19,705,,,,
Anoura latidens,13.6,1.13,36.82,1.57,,,-64.06,1742,,,,
Antechinomys laniger,27.4,1.44,26.85,1.43,,,139.35,42,,,,
Antechinus flavipes,46.5,1.67,45.11,1.65,,,138.62,99,,,,
Antechinus stuartii,28.2,1.45,33.84,1.53,,,151.57,19,,,,9.32133E-52
Aotus trivirgatus,1020,3.01,458.71,2.66,,,103.2,867,,,,
Aplodontia rufa,793,2.9,414.74,2.62,,,-123.2,108,,,,
Apodemus agrarius,21.2,1.33,66.78,1.82,,,20.97,99,,,,
Apodemus flavicollis,23.4,1.37,42.35,1.63,,,35.03,154,,,,
Apodemus hermonensis,20.5,1.31,50.02,1.7,,,36,995,,,,
Apodemus mystacinus,42.3,1.63,70.64,1.85,,,36,995,,,,
Apodemus sylvaticus,25.7,1.41,43.18,1.64,,,-2.22,108,,,,
Arborimus longicaudus,21.8,1.34,58.86,1.77,,,-124.17,31,,,,
Arctictis binturong,14280,4.15,1126.87,3.05,,,101.36,2140,,,,
Arctogalidia trivirgata,2010,3.3,552.24,2.74,,,101.35,1204,,,,
Artibeus concolor,19.7,1.29,32.84,1.52,,,-62.5,14,,,,
Artibeus jamaicensis,45.2,1.66,56.72,1.75,,,-56.47,128,,,,
Artibeus lituratus,70.1,1.85,86.57,1.94,,,-46.37,794,,,,
Arvicola richardsoni,80,1.9,172.8,2.24,,,-121.3,1071,,,,
Arvicola terrestris,97.5,1.99,113.1,2.05,,,16.7,223,,,,
Atelerix albiventris,450,2.65,148.26,2.17,,,11.36,375,,,,
Auliscomys boliviensis,76.8,1.89,110.59,2.04,,,-69.45,4068,,,,
Auliscomys micropus,62.3,1.79,97.81,1.99,,,-72.4,355,,,,
Baiomys taylori,7.3,0.86,14.24,1.15,,,-97.5,17,,,,
Bathyergus janetta,377,2.58,215.12,2.33,,,17.18,244,,,,
Bettongia gaimardi,1700,3.23,640.8,2.81,,,147.1,34,,,,
Blarina brevicauda,22.1,1.34,71.16,1.85,,,-76.4,371,,,,
Brachylagus idahoensis,432,2.64,384.48,2.58,,,-108.73,2091,,,,
Burramys parvus,44.3,1.65,36.77,1.57,,,144.97,58,,,,
Cabassous centralis,3810,3.58,799.5,2.9,,,-80.46,32,,,,
Callithrix pygmaea,153,2.18,98.01,1.99,,,8.5,503,,,,
Calomys callosus,48,1.68,55.82,1.75,,,-64.67,136,,,,
Calomys lepidus,16,1.2,28.8,1.46,,,-70,3897,,,,
Calomys musculinus,16.9,1.23,27.89,1.45,,,-66.35,639,,,,
Calomys venustus,49.5,1.69,70.79,1.85,,,-66.35,639,,,,
Caluromys derbianus,357,2.55,203.49,2.31,,,-79.9,21,,,,
Canis latrans,10000,4,2686.57,3.43,,,-112.05,356,,,,
Canis lupus,18066.67,4.26,8077.11,3.91,,,-117.15,103,,,,
Canis mesomelas,7720,3.89,3771.14,3.58,,,22.57,1121,,,,
Cannomys badius,344,2.54,171.64,2.23,,,100.59,43,,,,
Carollia perspicillata,14.9,1.17,31.34,1.5,,,-56.47,128,,,,
Cercartetus concinnus,18.6,1.27,22.32,1.35,,,135.55,90,,,,
Cercartetus lepidus,12.6,1.1,18.77,1.27,,,141.65,154,,,,
Cercartetus nanus,60,1.78,51.6,1.71,,,147.2,164,,,,
Cercopithecus mitis,8500,3.93,3396.52,3.53,,,36.47,1481,,,,
Cerdocyon thous,5444,3.74,1522.89,3.18,,,-77.57,95,,,,
Chaetophractus nationi,2150,3.33,558.71,2.75,,,-63.35,214,,,,
Chaetophractus vellerosus,1110,3.05,310.45,2.49,,,-63.37,49,,,,
Chalinolobus gouldii,17.5,1.24,24.88,1.4,,,115.51,8,,,,
Chionomys nivalis,32.8,1.52,81.02,1.91,,,20.25,829,,,,
Chironectes minimus,946,2.98,548.68,2.74,,,-79.9,21,,,,
Chrotopterus auritus,96.1,1.98,101.99,2.01,,,-43.53,1141,,,,
Clethrionomys californicus,18.3,1.26,61.12,1.79,,,-123.2,108,,,,
Clethrionomys gapperi,23.3,1.37,48.46,1.69,,,-76.4,371,,,,
Clethrionomys glareolus,24.6,1.39,57.32,1.76,,,19.8,268,,,,
Clethrionomys rutilus,28,1.45,77,1.89,,,-147.9,270,,,,
Colobus guereza,10500,4.02,2989.55,3.48,,,36.48,1481,,,,
Condylura cristata,49,1.69,110.45,2.04,,,-95.59,335,,,,
Conilurus penicillatus,213.2,2.33,162.67,2.21,,,130.87,19,,,,
Crocidura crossei,9.5,0.98,20.9,1.32,,,-3.93,9,,,,
Crocidura hildegardeae,11.5,1.06,29.9,1.48,,,29.63,782,,,,
Crocidura leucodon,11.7,1.07,29.84,1.47,,,6.13,475,,,,
Crocidura luna,12.8,1.11,26.88,1.43,,,29.63,782,,,,
Crocidura olivieri,38.3,1.58,57.45,1.76,,,-3.93,9,,,,
Crocidura poenis,16.9,1.23,30.42,1.48,,,-3.93,9,,,,
Crocidura russula,9.6,0.98,23.52,1.37,,,48.83,-4,,,,
Crocidura suaveolens,6.8,0.83,19.72,1.29,,,6.13,475,,,,
Crocidura viaria,15.3,1.18,22.95,1.36,,,-0.03,276,,,,
Cryptomys bocagei,94,1.97,69.65,1.84,,,13.28,696,,,,
Cryptomys damarensis,124,2.09,71.14,1.85,,,20.01,1007,,,,
Cryptomys hottentotus,102,2.01,69.65,1.84,,,28.21,1162,,,,
Cryptomys mahali,70.55,1.85,93.69,1.97,,,29.29,2829,,,,
Cryptomys mechowi,267,2.43,163.18,2.21,,,27.51,1307,,,,
Cryptomys natalensis,102,2.01,81.6,1.91,,,29.53,1748,,,,
Cryptomys nimrodi,90,1.95,80.64,1.91,,,29.22,809,,,,
Ctenomys australis,294.1,2.47,141.17,2.15,,,-58.83,16,,,,
Ctenomys chasiquensis,140.7,2.15,112.56,2.05,,,-63.07,8,,,,
Ctenomys fulvus,287.5,2.46,182.5,2.26,,,-68.08,2353,,,,
Ctenomys magellanicus,263.1,2.42,184.17,2.27,,,-69.02,40,,,,
Ctenomys maulinus,215,2.33,187.05,2.27,,,-70.53,2452,,,,
Ctenomys opimus,218.4,2.34,128.86,2.11,,,-68.87,4329,,,,
Ctenomys peruanus,490,2.69,220.5,2.34,,,-69.7,4091,,,,
Ctenomys porteusi,195.7,2.29,150.69,2.18,,,-62.15,118,,,,
Ctenomys talarum,116,2.06,109.95,2.04,,,-59.51,243,,,,
Ctenomys tuconax,325.8,2.51,208.51,2.32,,,-66.77,3622,,,,
Cynomys ludovicianus,1112.3,3.05,422.39,2.63,,,-112.24,1320,,,,
Cynopterus brachyotis,37.4,1.57,47.26,1.67,,,114.56,44,,,,
Dasycerus cristicauda,86,1.93,43,1.63,,,131.75,492,,,,
Dasyprocta azarae,3849,3.59,1884.08,3.28,,,-59.52,103,,,,
Dasyprocta leporina,2687,3.43,1556.72,3.19,,,-66.48,193,,,,
